*Product Category,*product Brand,*Product Unit,*Product Name,Purchases Price,Retail Price,Whole Price,Model,dont_have_this_property,Color ,dont_have_this_property,Serial No,dont_have_this_property,dont_have_this_property,dont_have_this_property,dont_have_this_property
Reticulation Item,Fishar,Pcs,Pick Tel,900.00 ,,,Pick Tel,,,,,,,,
Reticulation Item,Fishar,Pcs,Regulator 64/35,11069.23 ,,,Regulator 64/35,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,1 HP Paddle Wheel Aerator 2 Wheel 4 Spline,21717.50 ,,,1 HP Paddle Wheel Aerator 2 Wheel 4 Spline,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP Paddle Wheel Aerator 4 Wheel 4 Spline,26695.51 ,,,2 HP Paddle Wheel Aerator 4 Wheel 4 Spline,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Burner, Double, Model-1702",2045.64 ,,,"Burner, Double, Model-1702",,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Burner, Commercial, Model KB-10",3862.36 ,,,"Burner, Commercial, Model KB-10",,,,,,,,
LPG Equipment,Safe Gas,Pcs,Regulator,165.25 ,,,Regulator,,,,,,,,
Reticulation Item,Fishar,Pcs,Regulator R622-DFF,4326.66 ,,,Regulator R622-DFF,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Burner, Commercial, Model KB-5",2129.40 ,,,"Burner, Commercial, Model KB-5",,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,Large Size Feeder,16906.00 ,,,Large Size Feeder,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP RB-2 Blower,58894.00 ,,,2 HP RB-2 Blower,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP Paddle Wheel Aerator 4 Wheel 9 Spline,28175.75 ,,,2 HP Paddle Wheel Aerator 4 Wheel 9 Spline,,,,,,,,
Reticulation Item,SCG,Pcs,Safety Relief Valve 110/250,1644.50 ,,,Safety Relief Valve 110/250,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Regulator, R 924",491.00 ,,,"Regulator, R 924",,,,,,,,
LPG Equipment,Safe Gas,Pcs,Commercial Ignition KB-5,892.47 ,,,Commercial Ignition KB-5,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,Medium Size Feeder,15082.00 ,,,Medium Size Feeder,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP ABS Aerator,34796.00 ,,,2 HP ABS Aerator,,,,,,,,
Reticulation Item,Fishar,Pcs,FS-67CH-743,3525.36 ,,,FS-67CH-743,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP Solar Paddle Wheel Aerator,114838.00 ,,,2 HP Solar Paddle Wheel Aerator,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,"2 HP Paddle Wheel Aerator 4 Wheel, 4 Spindle, 3Ph",26004.00 ,,,"2 HP Paddle Wheel Aerator 4 Wheel, 4 Spindle, 3Ph",,,,,,,,
LPG Equipment,Kosangas,Pcs,"Regulator, Brand- Kosangas, 20 mm",159.91 ,,,"Regulator, Brand- Kosangas, 20 mm",,,,,,,,
LPG Equipment,Safe Gas,Pcs,Double Gas Burner 1702 Classic,1799.70 ,,,Double Gas Burner 1702 Classic,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,Double Speed Aerator,33320.00 ,,,Double Speed Aerator,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Burner, Single, Model-1701",1037.98 ,,,"Burner, Single, Model-1701",,,,,,,,
LPG Equipment,Safe Gas,Pcs,Commercial Burner KB - 3,1702.00 ,,,Commercial Burner KB - 3,,,,,,,,
LPG Equipment,Safe Gas,Pcs,Single Gas Burner 1701 Prime,904.02 ,,,Single Gas Burner 1701 Prime,,,,,,,,
Reticulation Item,Sam Gas,Pcs,Gas Meter,5696.00 ,,,Gas Meter,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP VB-2 Blower,12726.00 ,,,2 HP VB-2 Blower,,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP Surge Aerator (SG - 2),20727.80 ,,,2 HP Surge Aerator (SG - 2),,,,,,,,
Fishing Equipment,Aqua Bangla,Pcs,2 HP High Frequency Aerator,26865.00 ,,,2 HP High Frequency Aerator,,,,,,,,
LPG Equipment,Safe Gas,Pcs,"Regulator, Brand- Kosngas, 22 mm",160.85 ,,,"Regulator, Brand- Kosngas, 22 mm",,,,,,,,
